user_id,location,language,account_created,follower_count,city,country
user_guglt5jp,"Berlin, Germany",ja,2023-10-23 00:00:00+00:00,38963,Berlin,Germany
user_b1p3wz81,"Munich, Germany",zh,2023-05-06 00:00:00+00:00,24644,Munich,Germany
user_jm2grmis,"Dubai, UAE",en,2023-01-03 00:00:00+00:00,45842,Dubai,UAE
user_ykoqww5l,"Paris, France",fr,2023-10-11 00:00:00+00:00,665,Paris,France
user_3zzvv8vp,"Los Angeles, USA",ru,2023-05-23 00:00:00+00:00,42908,Los Angeles,USA
user_s4nmuyvf,"Mumbai, India",zh,2023-03-17 00:00:00+00:00,43412,Mumbai,India
user_9vo7he3z,"Rio de Janeiro, Brazil",en,2023-12-01 00:00:00+00:00,36257,Rio de Janeiro,Brazil
user_guruu55k,"Mexico City, Mexico",en,2023-03-30 00:00:00+00:00,11260,Mexico City,Mexico
user_8nvzxsuj,"Vancouver, Canada",es,2023-12-03 00:00:00+00:00,36383,Vancouver,Canada
user_rgmvy3e1,"London, UK",ja,2023-12-21 00:00:00+00:00,13458,London,UK
user_j0akync6,"Houston, USA",en,2023-10-23 00:00:00+00:00,28544,Houston,USA
user_dxhhp9fo,"Manchester, UK",fr,2023-03-03 00:00:00+00:00,3852,Manchester,UK
user_eci1w7hz,"Seoul, South Korea",ru,2023-02-04 00:00:00+00:00,43692,Seoul,South Korea
user_cefi5hpb,"Johannesburg, South Africa",es,2023-07-26 00:00:00+00:00,15895,Johannesburg,South Africa
user_wzdzaxo6,"Dubai, UAE",de,2023-03-27 00:00:00+00:00,13486,Dubai,UAE
user_urkhf34q,"Manchester, UK",ar,2023-02-18 00:00:00+00:00,24177,Manchester,UK
user_4y5xrp4d,"São Paulo, Brazil",ar,2023-07-02 00:00:00+00:00,18904,São Paulo,Brazil
user_5805b7s5,"Osaka, Japan",de,2023-07-29 00:00:00+00:00,29193,Osaka,Japan
user_ju8hqhh7,"São Paulo, Brazil",pt,2023-08-10 00:00:00+00:00,11133,São Paulo,Brazil
user_0xtn0q1z,"Mexico City, Mexico",zh,2023-02-13 00:00:00+00:00,4956,Mexico City,Mexico
user_vdzbq60d,"São Paulo, Brazil",de,2023-05-21 00:00:00+00:00,25387,São Paulo,Brazil
user_3nei5tio,"Rome, Italy",ja,2023-06-06 00:00:00+00:00,27945,Rome,Italy
user_8hs083wf,"Mexico City, Mexico",ja,2023-11-26 00:00:00+00:00,36208,Mexico City,Mexico
user_g62nc9bm,"Osaka, Japan",pt,2023-05-18 00:00:00+00:00,29261,Osaka,Japan
user_u6wmhba1,"Rio de Janeiro, Brazil",fr,2023-05-07 00:00:00+00:00,26788,Rio de Janeiro,Brazil
user_rawskkbp,"Mexico City, Mexico",ja,2023-04-03 00:00:00+00:00,19554,Mexico City,Mexico
user_6wra58f7,"Johannesburg, South Africa",en,2023-12-29 00:00:00+00:00,4953,Johannesburg,South Africa
user_20v16n7o,"Osaka, Japan",es,2023-06-23 00:00:00+00:00,35772,Osaka,Japan
user_8hwimj2y,"Barcelona, Spain",hi,2023-07-09 00:00:00+00:00,34130,Barcelona,Spain
user_34h6otv1,"Mumbai, India",hi,2023-09-01 00:00:00+00:00,825,Mumbai,India
user_rd4m435g,"Mumbai, India",en,2023-05-09 00:00:00+00:00,41448,Mumbai,India
user_baflpt2a,"Shanghai, China",zh,2023-05-14 00:00:00+00:00,2528,Shanghai,China
user_3rnkw0w0,"London, UK",en,2023-08-30 00:00:00+00:00,16930,London,UK
user_wdvt8sn8,"Lagos, Nigeria",hi,2023-10-18 00:00:00+00:00,44991,Lagos,Nigeria
user_6ftbnlhg,"Seoul, South Korea",ru,2023-04-22 00:00:00+00:00,42376,Seoul,South Korea
